id,fire_name,county_id,county_name,location,latitude,longitude,minimum_temp,maximum_temp,average_temp,wind_speed,air_pressure,precipitation
176,Boca Fire,29,Nevada,"off Interstate 80 at Hirschdale, east of Truckee ",39.3918,-120.0805,7.0,26.0,21.0,6.0,1013.0,0.0
177,Marsh Fire,7,Contra Costa,"off Marsh Creek Rd., near Aspara Drive, east of Clayton",37.5359,-121.5118,15.0,25.0,21.0,10.0,1014.0,0.0
178,Cassel Fire,45,Shasta,"Off Cassel Road at Thrush Road, in Cassel",40.5719,-121.3415,7.0,29.0,24.0,6.0,1016.0,0.0
179,San Lucas Fire,27,Monterey,"San Lucas & Jolon Rd, west of King City ",36.103,-121.117,14.0,32.0,27.0,5.0,1018.0,0.0
180,Wildlife Fire,4,Butte,"Wildlife Area - Larkin Road, west of Oroville<br><br>Road Closures: None, the Wildlife area north of the Afterbay Outlet is closed to the public.",39.4664,-121.6129,22.0,40.0,35.0,9.0,1013.0,0.0
181,Jackson Fire,55,Tuolumne,Hwy 49 & Jacksonville Rd near the community of Moccasin,37.8316,-120.3434,14.0,32.0,26.0,8.0,1008.0,0.0
182,Van Buren Fire,33,Riverside,Off Ave 62 and Van Buren St in Thermal,33.5982,-116.1985,8.0,23.0,18.0,17.0,1017.0,0.0
183,Bane Fire,36,San Bernardino,in Chino Hills State Park near the Bane Canyon entrance,33.93869,-117.70643000000001,14.0,25.0,21.0,4.0,1015.0,0.0
184,Interlake Fire,",40",San Luis Obispo,along Interlake Road between Monterey & San Luis Obispo County,35.8218,-121.0226,19.0,30.0,27.0,7.0,1012.0,0.0
185,Hutto Fire,29,Nevada,on Hutto Rd & Keller Rd in Smartsville,39.1871,-121.2687,19.0,36.0,31.0,3.0,1013.0,0.0
186,Bible Fire,9,El Dorado,"off Mt Aukum Rd, Somerset ",38.608336,-120.70323799999998,13.0,33.0,28.0,3.0,1013.0,0.0
187,Jacumba Fire,37,San Diego,"Off Interstate 8, east of McCain Valley Rd, east of Boulevard",32.665,-116.22200000000001,9.0,23.0,18.0,11.0,1013.0,0.0
188,Stage Coach Fire,28,Napa,"Berryessa Estates, North of Lake Berryessa",38.695961,-122.384054,15.0,35.0,29.0,6.0,1012.0,0.0
189,Leopard Fire,45,Shasta,"Hyrax Road at Dersch Road, east of Redding",40.0,29.24,15.0,25.0,21.0,11.0,1014.0,0.0
190,Hall Fire,10,Fresno,near Hwy 180 & Hall Lane near Squaw Valley,36.742746999999994,-119.24149299999999,14.0,32.0,27.0,3.0,1009.0,0.0
191,Cascade Fire,9,El Dorado,"Desolation Wilderness, 8 miles west of South Lake Tahoe",38.9195001,-120.1140659,5.0,15.0,10.0,14.0,1013.0,0.0
192,West Fire,53,Trinity,near the Trinity Pines community,40.41,-123.24,10.0,33.0,28.0,4.0,1010.0,0.0
193,Pines Fire,20,Madera,Malum Ridge Road near Bass Lake,37.0,18.4,26.0,26.0,26.0,24.0,1014.0,0.0
194,Happy Camp Complex,47,Siskiyou,in the Happy Camp area,41.79600000000001,-123.374,8.0,31.0,24.0,8.0,1016.0,0.0
195,Rough Fire ,10,Fresno,5 miles North of Hume Lake and 2.5 miles to the southwest of Spanish Mountain 5,36.874,-118.905,8.0,19.0,16.0,4.0,1018.0,0.0
196,Rocky Fire,17,Lake,"near Morgan Valley Road and Rocky Creek Road, east of Clear Lake",38.886353799999995,-122.47624750000001,18.0,37.0,32.0,7.0,1011.0,0.0
197,Jerusalem Fire,"17,28",Lake,"Jerusalem Valley area, northeast of Middletown",38.8142503,-122.48673190000001,14.0,32.0,28.0,10.0,1013.0,0.0
198,Dodge Fire,18,Lassen,17 miles northeast of Ravendale,40.938,-120.105,12.0,27.0,23.0,5.0,1012.0,0.0
199,Cabin Fire,54,Tulare,"Golden Trout Wilderness, Sequoia National Forest",36.24,-118.54,20.0,33.0,29.0,5.0,1016.0,0.0
200,Willow Fire,20,Madera,"off of Willow Canyon Drive and Road 274, southeast of Bass Lake",37.279722,-119.50013999999999,10.0,30.0,25.0,6.0,1019.0,0.0
201,Frog Fire,25,Modoc,SW of Lava Campground,41.398999999999994,-121.39200000000001,13.0,36.0,31.0,8.0,1017.0,0.0
202,North Fire,36,San Bernardino,"off Interstate 15, south of Oaks Hills, in the Cajon Pass area",34.339,-117.478,22.0,31.0,28.0,10.0,1011.0,0.0
203,Tesla Fire,1,Alameda,"off Tesla Rd near Correl Hollow, between Livermore and Tracy",37.3845,-121.3732,17.0,37.0,30.0,6.0,1013.0,0.0
204,Cuesta Fire,40,San Luis Obispo,"Off Highway 101 in the Cuesta Grade, north of San Luis Obispo",35.3477,-120.6269,23.0,33.0,29.0,5.0,1012.0,0.0
205,Lowell Fire,29,Nevada,In the Steep Hollow drainage west of Alta,39.192088,-120.88231299999998,12.0,28.0,24.0,8.0,1019.0,0.0
206,Saddle Fire ,53,Trinity,4 miles northwest of Hyampom,40.924,-123.16799999999999,10.0,24.0,21.0,4.0,1012.0,0.1
207,Lumpkin Fire,4,Butte,"off Lumpkin Road and Forbestown Road, Robinson Mill",39.5218,-121.3363,21.0,37.0,31.0,8.0,1014.0,0.0
208,Corrine Fire,20,Madera,"Road 222 and Tunoi Place, north of Auberry",37.165766999999995,-119.52394299999999,18.0,33.0,29.0,8.0,1014.0,0.0
209,Elk Fire,17,Lake,"Off of Elk Mountain Road and Mount Dinger Road, north of Upper Lake",55.23,-122.0,2.0,4.0,3.0,4.0,1002.0,1.4
210,Cienega Fire,35,San Benito,"Cienega Rd & Limekiln Rd, south of Hollister",36.70854,-121.32733999999999,14.0,34.0,26.0,1.0,1015.0,0.0
211,Anza Fire,33,Riverside,Highway 74 east of Highway 371,33.5736,-116.5387,20.0,31.0,28.0,15.0,1011.0,0.0
212,Triple Fire,54,Tulare,"Globe Dr and Mountain Rd, Springville",36.085212,-118.82423500000002,23.0,36.0,31.0,8.0,1015.0,0.7
213,Calgrove Fire ,19,Los Angeles,"Southbound Interstate 5, North of Calgrove, Santa Clarita ",34.361007,-118.535793,18.0,33.0,29.0,2.0,1011.0,0.0
214,Forebay Fire,24,Merced,off Hwy 152 near the O’Neill Forebay ,37.08312,-121.06963,9.0,25.0,20.0,12.0,1014.0,0.0
215,Peterson Fire,17,Lake,"off Peterson Lane and Adobe Creek Road, near Kelseyville",38.925764,-122.879272,12.0,33.0,26.0,3.0,1011.0,0.0
216,241 Fire,30,Orange,"Hwy 241, south of Santiago Canyon Rd, near Irvine Lake (Orange County)",33.7626,-117.7274,19.0,27.0,25.0,3.0,1015.0,0.0
217,China Fire,45,Shasta,"China Gulch, Happy Valley, Southwest of Redding",40.415108000000004,-122.439939,20.0,42.0,35.0,7.0,1015.0,0.0
218,Big Creek Fire,55,Tuolumne,off Hwy120 and Sprague Rd near Groveland ,37.823,-120.15643999999999,19.0,37.0,32.0,10.0,1014.0,0.0
219,Pines Fire ,19,Los Angeles,Angeles Crest Highway (Hwy 2) north of Wrightwood and near Big Pines,34.367,-117.68299999999999,19.0,33.0,29.0,10.0,1011.0,0.0
220,Stephens Fire,47,Siskiyou,"Approx. 18 miles northeast of McCloud, just south of Horse Peak",41.485,-121.851,-4.0,17.0,8.0,9.0,1030.0,0.0
221,Cooley Fire,47,Siskiyou,5 miles North of the community of Montague on Cooley Rd,41.8048,-122.5029,10.0,26.0,22.0,4.0,1018.0,0.0
222,Wildcat Fire,37,San Diego,"Wildcat Canyon Rd and Barona Rd, east of Fernbrook",32.9421,-116.8534,16.0,27.0,21.0,5.0,1011.0,0.0
223,Cutca Fire,37,San Diego,"On Palomar Mountain, north of the Palomar Observatory",33.383889,-116.86861100000002,18.0,30.0,26.0,1.0,1016.0,0.0
224,Queen Fire,12,Humboldt,"off Hwy 169 & McKinnon Hill Rd, 5 miles southeast of Pecwan",41.295667,-123.784067,-1.0,29.0,22.0,3.0,1018.0,0.0
225,Cook Fire,58,Yuba,"UC Field Station, Scott Forbes Road",39.2688,-121.26471000000001,14.0,34.0,29.0,9.0,1012.0,0.0
226,Horse Fire,12,Humboldt,"Saddle Mountain Road, 6 miles NE Shelter Cove",40.1058823,-124.0720419,12.0,25.0,22.0,3.0,1011.0,0.0
227,Ward Fire,32,Plumas,East of Taylorsville,40.05083333,-120.70166670000002,0.0,9.0,6.0,9.0,1016.0,1.1
228,Democrat Fire,53,Trinity,"Democrat Gulch, west of Weaverville ",40.724897999999996,-122.96173999999999,8.0,27.0,21.0,1.0,1015.0,0.0
229,3-11 Fire,25,Modoc,"on Splawn Mountain, northeast of Bieber",41.29226,-121.17211699999999,11.0,25.0,21.0,4.0,1011.0,0.0
230,Mark Fire,5,Calaveras,Marks Ranch Rd south of Angels Camp,38.052,-120.5577,16.0,31.0,26.0,6.0,1018.0,0.0
231,Tulloch Fire,55,Tuolumne,"south of Hwy 108 & Tulloch Rd, south of Lake Tulloch",37.83618,-120.61691,14.0,36.0,30.0,6.0,1017.0,0.0
232,36 Fire,52,Tehama,off Highwat 36 near Paynes Creek,40.3506868,-121.77867990000001,17.0,33.0,29.0,1.0,1012.0,0.2
233,Munjar Fire,4,Butte,"Munjar Rd, 10 miles north of Chico",39.8707,-121.8938,14.0,32.0,25.0,3.0,1018.0,0.0
234,Sterling Fire,36,San Bernardino,Sterling Avenue x Foothill Drive East,34.165974,-117.24387800000001,21.0,37.0,32.0,5.0,1011.0,0.0
235,Laureles Fire,27,Monterey,off Laureles Grade and Highway 68 ,36.5696373,-121.75560290000001,12.0,22.0,19.0,6.0,1014.0,0.0
236,Sprig Fire,45,Shasta,"Sprig Way and Millville Plains Rd, Millville; 10 miles southeast of Redding",40.49865,-122.20109,24.0,41.0,36.0,4.0,1016.0,0.0
237,Advance Fire,54,Tulare,5 miles north of the community of Three Rivers near Advance,36.49845,-118.9009,21.0,37.0,33.0,7.0,1016.0,0.0
238,Otay Fire,37,San Diego,off Otay Lakes Road and Woods Drive in Chula Vista,32.6449163,-116.94543870000001,17.0,27.0,25.0,6.0,1013.0,0.0
239,3-12 Fire,25,Modoc,"in Dixie Valley, southwest of Bieber",40.856421999999995,-121.101623,5.0,23.0,19.0,3.0,1011.0,0.0
240,Fern Fire,45,Shasta,"Fern Rd and Oak Run Rd, 1 mile east of the Community of Oak Run",40.67868,-121.93243999999999,15.0,26.0,23.0,5.0,1014.0,1.0
241,Mallard Fire,45,Shasta,off Mallard Way in Millville ,40.509552,-122.19922700000001,22.0,38.0,32.0,7.0,1015.0,0.0
242,Pass Fire,15,Kern,Off of Hwy 41 near Cottonwood Pass,35.77937,-120.19481999999999,24.0,37.0,32.0,9.0,1010.0,0.0
243,Dixie Fire,18,Lassen,"Dixie Valley, south of Bieber",40.875667,-121.033667,8.0,27.0,22.0,5.0,1015.0,0.0
244,Point Fire,45,Shasta,"Gas Point and Happy Valley Rd, west of Cottonwood",40.3929,-122.40546,16.0,35.0,29.0,3.0,1012.0,0.0
245,De Luz Fire,37,San Diego,De Luz Rd and De Luz Murrieta Rd,33.4115972,-117.2886249,16.0,29.0,25.0,2.0,1013.0,0.0
246,Fork Fire,52,Tehama,"Off Lowery Rd, north of Paskenta",40.0133,-122.552,18.0,37.0,27.0,5.0,1013.0,0.0
247,Mill 2 Fire,36,San Bernardino,"Mill Creek Rd and Bryant St, east of Mentone",34.0783472,-117.04878629999999,13.0,31.0,26.0,3.0,1014.0,0.0
248,Potrero Fire,56,Ventura,"Hidden Valley area, southwest of Thousand Oaks",34.15,-118.87944399999999,14.0,25.0,20.0,17.0,1020.0,0.0
249,Mendocino Lightning Fires,23,Mendocino,Community of Willits and Brooktrails,39.433009999999996,-123.36316000000001,11.0,33.0,28.0,3.0,1014.0,0.0
250,Center Fire,18,Lassen,"Center Rd, east of Susanville",40.400196,-120.553075,12.0,30.0,25.0,2.0,1015.0,0.0
251,Sullivan Fire,50,Stanislaus,"Sullivan Rd and Orestimba Rd, 10 miles West of Newman",37.24523,-121.20324,17.0,38.0,32.0,9.0,1013.0,0.0
252,Ascot Fire,48,Solano,Lake Herman Rd and Sky Valley Rd,38.1029,-122.1578,14.0,24.0,20.0,10.0,1012.0,0.2
253,Chiles Fire,28,Napa,"Chiles Pope Valley Rd. & Lower Chiles Valley Rd., East of St. Helena",38.5287,-122.3415,8.0,30.0,24.0,4.0,1013.0,0.0
254,Browns Fire,53,Trinity,Hwy 299 and Little Browns Creek Rd east of Weaverville,40.0,41.46,10.0,25.0,21.0,5.0,1016.0,0.0
255,Covelo Fire,23,Mendocino,"off Highway 162 and Cemetery Lane, Covelo",39.7806004,-123.24821399999999,8.0,29.0,23.0,5.0,1015.0,0.1
256,McCourtney Fire,29,Nevada,"off McCourtney Rd & Perimeter Rd, east of Camp Far West Reservoir ",39.080999999999996,-121.194,15.0,29.0,24.0,10.0,1009.0,0.0
257,Kramer Fire ,18,Lassen,"off of Kramer Road and 4 Corners Road, west of Beiber ",41.12362,-121.19425600000001,9.0,23.0,19.0,11.0,1010.0,0.0
258,Francis Fire,58,Yuba,Colgate Powerhouse south of Dobbins,39.33303,-121.18735,12.0,29.0,24.0,7.0,1012.0,0.0
259,Baxter Fire,31,Placer,"Baxter Grade Rd, 3 miles West of Auburn",38.9361,-121.1548,15.0,30.0,25.0,10.0,1010.0,0.0
260,Park Fire,37,San Diego,"Off of Lake Morena Drive near Lake Morena Park, north of Campo",32.682547,-116.51683999999999,16.0,32.0,27.0,5.0,1015.0,0.0
261,Betabel Fire,35,San Benito,"off Hwy 101 between Anzar Rd & Hwy 156, in Aromas",36.8727,-121.5681,18.0,33.0,28.0,4.0,1017.0,0.0
262,Dorris Fire,47,Siskiyou,"Off Hwy 161 & Hwy 97, northeast of Dorris",41.999340999999994,-121.891226,10.0,28.0,23.0,1.0,1016.0,0.0
263,Soda Fire,23,Mendocino,"off Hwy 253, 4 miles northeast of Boonville (Mendocino County).",39.0263,-123.303,12.0,30.0,26.0,5.0,1011.0,0.2
264,Grade Fire,17,Lake,"Jerusalem Grade Rd & June Bug Rd, 7 miles northeast of Middletown",38.831478000000004,-122.53428000000001,13.0,32.0,26.0,6.0,1015.0,0.0
265,Gibraltar Fire,42,Santa Barbara,between Montecito Peak and Coldspring Saddle,34.4828,-119.63216000000001,8.0,25.0,18.0,16.0,1012.0,0.0
266,Spider Fire,33,Riverside,"San Timoteo Canyon Rd and Redlands Blvd, northeast of Moreno Valley",33.986204,-117.43942,17.0,31.0,27.0,5.0,1015.0,0.0
267,Pleasure Fire,28,Napa,"Steele Canyon Rd. and Headlands Dr., Lake Berryessa",38.519132,-122.181878,16.0,31.0,27.0,10.0,1013.0,0.0
268,Keswick Fire,45,Shasta,"Middle Creek Road, north of Hwy 299",40.5953,-122.4397,17.0,33.0,29.0,4.0,1015.0,0.0
269,Buck Fire,12,Humboldt,off Alderpoint Road & Wallan Road near Garberville ,40.1093,-123.774,16.0,33.0,27.0,13.0,1015.0,0.0
270,Washington Fire,2,Alpine,south of Markleeville,38.598056,-119.751944,8.0,18.0,15.0,10.0,1015.0,0.0
271,Soberanes Fire,27,Monterey,"Soberanes Creek, Garrapata State Park, Palo Colorado, north of Big Sur",36.45994,-121.89938000000001,12.0,20.0,18.0,8.0,1013.0,0.0
272,Erskine Fire,15,Kern,Off Erskine Creek Rd in Lake Isabella,35.6115,-118.45628,16.0,29.0,23.0,10.0,1013.0,0.0
273,Chimney Fire,40,San Luis Obispo,Running Deer Rd & Chimney Rock Rd south of Lake Nacimiento ,35.70595,-120.98316000000001,18.0,31.0,27.0,6.0,1015.0,0.0
274,Blue Cut Fire,36,San Bernardino,"off of I-15 and Hwy 138, north of San Bernardino ",34.30372,-117.49342,21.0,36.0,31.0,9.0,1011.0,0.0
275,Gap Fire,47,Siskiyou,"off Seiad Creek Rd, 5 miles northeast o Seiad Valley",41.851000000000006,-123.118,9.0,29.0,24.0,2.0,1015.0,0.0
276,Canyon Fire,42,Santa Barbara,"Santa Ynez Ridge Road and Egress Road, south side of Vandenberg Air Force Base",34.63445,-120.54421,15.0,27.0,23.0,9.0,1014.0,0.0
277,Pilot Fire,36,San Bernardino,"Pilot Rock & Hwy 138, southeast of Hesperia",34.28771,-117.27338,21.0,35.0,30.0,11.0,1008.0,0.0
278,Sherpa Fire,42,Santa Barbara,west of Goleta,34.775999999999996,-119.64299999999999,14.0,22.0,18.0,13.0,1014.0,0.0
279,Mineral Fire,10,Fresno,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",36.099740000000004,-120.51057,18.0,31.0,26.0,8.0,1010.0,0.0
280,Cold Fire,57,Yolo,"off of Highway 128 west of Pleasants Valley Road, west of Winters",38.52513,-122.06788,13.0,35.0,29.0,10.0,1015.0,0.0
281,Trailhead Fire,"9,31",El Dorado,along the  Middle Fork of the American River near Todd Valley,38.96741,-120.9375,19.0,37.0,32.0,10.0,1016.0,0.0
282,Owens River Fire,14,Inyo,"Clark Canyon, north of Mammoth Lakes, east of Hwy 395",37.75985,-118.95308999999999,4.0,18.0,13.0,4.0,1018.0,0.0
283,Marek Fire,19,Los Angeles,Lake View Terrace,34.31,-118.335,18.0,33.0,26.0,9.0,1020.0,0.0
284,Loma Fire,43,Santa Clara,off Loma Prieta Rd and Loma Chiquita Rd 10 miles NW of Morgan Hill,37.106320000000004,-121.85318000000001,19.0,36.0,30.0,0.0,1015.0,0.0
285,Clayton Fire,17,Lake,off Hwy 29 and Clayton Creek south of Lower Lake,38.89741,-122.60663999999998,16.0,36.0,30.0,7.0,1015.0,0.0
286,Metz Fire,27,Monterey,"Metz Rd & Blue Jay Ln, southeast of Soledad",36.38123,-121.20058999999999,5.0,20.0,14.0,8.0,1019.0,0.0
287,Curry Fire,10,Fresno,"Curry Mountain, 7 miles SW of Coalinga",36.0749,-120.452041,20.0,34.0,30.0,8.0,1010.0,0.0
288,Pony Fire,47,Siskiyou,15 miles SW of Happy Camp (Siskiyou County),41.623000000000005,-123.557,2.0,33.0,24.0,4.0,1010.0,0.0
289,Soup Complex,25,Modoc,"Soup Springs, 12 miles east of Likely",41.2649,-120.3178,9.0,24.0,20.0,5.0,1018.0,0.0
290,Willard Fire,18,Lassen,"off of Willard Creek Road, west of Susanville",40.3915,-120.7845,11.0,25.0,21.0,6.0,1017.0,0.0
291,Coleman Fire,27,Monterey,off Mission Creek Rd and Milpitas Rd north of Fort Hunter Liggett,36.01542,-121.25028999999999,15.0,35.0,29.0,3.0,1013.0,0.0
292,Pine Fire,56,Ventura,"Near Haddock Campground, 3 miles west of the Pine Mtn Lodge, above Middle Sespe.",34.701,-119.14399999999999,14.0,26.0,21.0,3.0,1011.0,0.0
293,Goose Fire,10,Fresno,"Off Gooseberry Ln & Morgan Canyon, south of Prather ",37.01591,-119.50506999999999,22.0,36.0,33.0,6.0,1010.0,0.0
294,Sacata Fire,10,Fresno,"near Sacata Ridge, located above Pine Flat",36.94536,-119.25958999999999,10.0,23.0,18.0,3.0,1015.0,0.0
295,Sawmill Fire,49,Sonoma,"off Big Geysers Road and Geysers Resort Road, 10 miles east of Cloverdale",38.80017,-122.82895,12.0,37.0,27.0,5.0,1018.0,0.0
296,Dinosaur Fire,24,Merced,"Off Hwy152 at Dinosaur Point, westside of San Luis Reservoir ",37.07147,-121.20155,16.0,38.0,32.0,10.0,1015.0,0.0
297,Roblar Fire,37,San Diego,Roblar Rd and Case Springs (Camp Pendleton),33.393,-117.35093,17.0,26.0,22.0,7.0,1013.0,0.0
298,Sage Fire,19,Los Angeles,"off of Calgrove Blvd, southwest of Santa Clarita",34.36763,-118.57245,16.0,32.0,28.0,3.0,1015.0,0.0
299,Marshes Fire,55,Tuolumne,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,37.79635,-120.32484,16.0,32.0,27.0,8.0,1018.0,0.0
300,Saddle Fire,4,Butte,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",39.6871,-121.571,10.0,26.0,20.0,9.0,1011.0,0.0
301,Marina Fire,26,Mono,Hwy 395 & Mono Lake,37.97,-119.14,7.0,22.0,18.0,4.0,1017.0,0.0
302,Tully Fire,12,Humboldt,"off of Hwy 169 & Martin''s Ferry Rd, northwest of Weitchpec ",41.284859999999995,-123.82268,-2.0,33.0,22.0,3.0,1014.0,0.1
303,Fort Fire,15,Kern,"off of I-5, east of Grapevine",34.913000000000004,118.9082,23.0,29.0,27.0,7.0,1010.0,2.4
304,99 Fire,4,Butte,"Off of Highway 99 and Neal Road, south of Chico",39.6708,-121.7192,12.0,33.0,27.0,3.0,1015.0,0.0
305,Range Fire,15,Kern,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",35.2013,-118.7212,10.0,33.0,26.0,5.0,1012.0,0.0
306,Colyear Fire,52,Tehama,"Colyear Springs Road, 7 miles west of Red Bank",40.0353,-122.56938999999998,19.0,40.0,34.0,4.0,1013.0,0.0
307,Beale Fire,58,Yuba,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",36.16965,-121.38775,14.0,34.0,26.0,3.0,1010.0,0.0
308,Tule Fire,54,Tulare,"off Hwy 190, 4 miles northeast of Springville",36.1648,-118.73906000000001,19.0,35.0,29.0,5.0,1012.0,0.0
309,Howard Fire,25,Modoc,"in Howards Gulch, north of Canby ",41.4657,-120.9066,12.0,28.0,22.0,5.0,1017.0,0.0
310,Hog Fire,52,Tehama,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",40.30594,-122.1295,10.0,24.0,19.0,7.0,1011.0,0.0
311,Appaloosa Fire,5,Calaveras,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",38.02845,-120.61153,18.0,34.0,29.0,7.0,1012.0,0.0
312,Havilah Fire,15,Kern,south of Lake Isabella,35.4976,-118.5097,16.0,32.0,27.0,5.0,1015.0,0.0
313,DeWolf Fire,10,Fresno,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",36.88286,-119.654,9.0,25.0,20.0,10.0,1016.0,0.0
314,Tobin Fire,32,Plumas,north of Hwy 70 and west of Jackass Creek Road ,39.92,-121.32,15.0,30.0,24.0,13.0,1020.0,0.0
315,Onyx Fire,15,Kern,"off Coyote Trail & Rocky Hill, East of Onyx",35.68313,-118.21793000000001,12.0,29.0,25.0,8.0,1013.0,0.0
316,Reservoir Fire,17,Lake,"Near Indian Valley Reservoir, 7 miles Southwest of Leesville",39.12366,-122.50373,17.0,35.0,31.0,10.0,1014.0,0.0
317,Camanche Fire,3,Amador,"off Camanche Parkway North & Coal Mine Road, south of Ione",38.26874,-120.90265,10.0,28.0,23.0,4.0,1018.0,0.0
318,Big Fire,10,Fresno,"off Watts Valley Rd. & Big Springs Ln, east of Clovis",36.92244,-119.39618999999999,11.0,29.0,25.0,3.0,1015.0,0.0
319,Emerald Fire,9,El Dorado,"off Highway 89, near Cascade Lake and Emerald Bay.",38.934490000000004,-120.10744,5.0,7.0,6.0,34.0,1013.0,0.0
320,Athens Fire,31,Placer,"Off Athens Ave & Industrial Blvd, south of Lincoln",38.8390117,-121.3090268,15.0,31.0,26.0,10.0,1014.0,0.0
321,Sunny Fire,10,Fresno,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,36.84479,-119.34487,15.0,29.0,25.0,2.0,1010.0,0.0
322,Wheatland Fire,19,Los Angeles,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",34.275999999999996,-118.354,12.0,21.0,19.0,3.0,1014.0,0.0
323,Old Fire,8,Del Norte,"off Old Yosemite Rd, 8 miles east of Greeley Hill",37.75972,-120.02962600000001,9.0,20.0,15.0,2.0,1010.0,0.0
324,Holy Fire,30,Orange,off Trabuco Creek Rd near Holy Jim Trail,33.6542,-117.5221,20.0,27.0,23.0,1.0,1010.0,0.0
325,Shedd Fire,40,San Luis Obispo,Wood Canyon Rd & Hwy 41,35.619609999999994,-120.39993,11.0,23.0,19.0,5.0,1014.0,0.0
326,Bird Fire,39,San Joaquin,"off of Bird Rd & I-580, south of Tracy",37.62215,-121.36665,15.0,34.0,28.0,8.0,1014.0,0.4
327,Frame Fire,10,Fresno,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",36.14161,-120.62048,19.0,33.0,29.0,10.0,1016.0,0.0
328,Temecula Fire,33,Riverside,Off I-15 south of Temecula Parkway,33.476894,-117.140883,19.0,31.0,28.0,0.0,1013.0,0.0
329,Famoso Fire,15,Kern,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",35.607479999999995,-118.94811000000001,22.0,40.0,35.0,7.0,1014.0,0.0
330,Avocado Fire,10,Fresno,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",36.787690000000005,-119.38248,8.0,22.0,18.0,7.0,1012.0,0.0
331,Bangor Fire,4,Butte,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",39.4403,-121.42647,6.0,22.0,16.0,2.0,1013.0,0.0
332,Green Fire,10,Fresno,"off Auberry Rd & White Thorne Rd, near Prather",37.0099,-119.5792,17.0,34.0,30.0,5.0,1014.0,0.0
333,Coe Fire,50,Stanislaus,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",37.17072,-121.42238,13.0,29.0,23.0,6.0,1012.0,0.0
334,Coal Fire,4,Butte,"Off Coal Canyon Rd & Hwy 70, north of Oroville",39.595,-121.6008,16.0,33.0,28.0,8.0,1018.0,0.0
335,Broken Fire,20,Madera,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",37.256009999999996,-119.65776000000001,9.0,32.0,27.0,4.0,1016.0,0.0
336,Cow Fire,45,Shasta,off Whitmore Road and Old Cow Creek Road,40.0,-121.93923000000001,21.0,39.0,31.0,14.0,1022.0,0.0
337,Hart Fire,15,Kern,"off Hwy 58 and Hart Flat Rd, Tehachapi ",35.24504,-118.60343999999999,19.0,30.0,26.0,14.0,1012.0,0.0
338,Bradley Fire,27,Monterey,"off Highway 101 and San Antonio River, south of Bradley ",35.85093,-120.81081,16.0,29.0,25.0,6.0,1013.0,0.0
339,Feather Fire,37,San Diego,"off of El Capitan Truck Trail, south of Ramona ",32.9612,-116.7945,18.0,30.0,26.0,6.0,1012.0,0.1
340,Dunstone Fire,4,Butte,"La Porte Road at Dunstone Road, west of Bangor ",39.33035,-121.78973,22.0,29.0,27.0,8.0,1014.0,0.0
341,Santos Fire,4,Butte,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",39.79547,-121.71661999999999,12.0,31.0,25.0,1.0,1012.0,0.0
342,Flores Fire,52,Tehama,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",40.07846,-122.2071,20.0,39.0,34.0,9.0,1010.0,0.0
343,Moore Fire,31,Placer,"off Moore Rd and South Dowd Rd, west of Lincoln",38.86804,-121.37704,16.0,38.0,32.0,6.0,1018.0,0.0
344,Scott Fire,34,Sacramento,"off of Scotts Road and Latrobe Road, Rancho Murrieta",38.517771999999994,-121.103642,11.0,33.0,26.0,13.0,1018.0,0.0
345,Frazier Fire,40,San Luis Obispo,off Nacimiento Lake Dr. and Frazier Rd.,35.70821,-120.82266000000001,22.0,36.0,32.0,10.0,1014.0,0.0
346,Grub Fire,20,Madera,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",37.3228,-119.7738,10.0,33.0,26.0,5.0,1013.0,0.0
347,Dunnigan Fire,57,Yolo,"off County Road 86 & County Road 6, west of Dunnigan",38.8866,-122.04726000000001,16.0,40.0,33.0,2.0,1013.0,0.0
348,Hoag Fire,52,Tehama,"off Corning Road and Gaylord Avenue, east of Corning",39.7947,-121.85700000000001,12.0,31.0,26.0,10.0,1016.0,0.0
349,Sherwood Fire,56,Ventura,"near Lake Sherwood, southwest of Thousand Oaks",36.92244,-119.39618999999999,14.0,33.0,28.0,3.0,1015.0,0.0
