,Total_Acres_Burned,Archive_Year,County_Name,County_ID,Fire_Started_Date,Fire_Extinguished_Date,Injuries,Latitude,Longitude,Major_Incident,Location,Fire_Name,Percent_Contained,State,CAUSE,Cause_Description,Structure_Impacted,Maximum_Temp,Minimum_Temp,Average_Temp,Wind_Speed,Air_Pressure,Precipitation
261,25,2015,San Diego,37,7/24/2015,7/25/2015,0,32.682547,-116.51684,FALSE,"Off of Lake Morena Drive near Lake Morena Park, north of Campo",Park Fire,100,CA,14,Unidentified,0,32,16,27,5,1015,0
262,25,2015,San Benito,35,7/20/2015,7/20/2015,0,36.8727,-121.5681,FALSE,"off Hwy 101 between Anzar Rd & Hwy 156, in Aromas",Betabel Fire,100,CA,2,Equipment Use,0,33,18,28,4,1017,0
263,24,2015,Siskiyou,47,7/21/2015,7/22/2015,0,41.999341,-121.891226,TRUE,"Off Hwy 161 & Hwy 97, northeast of Dorris",Dorris Fire,100,CA,14,Unidentified,0,28,10,23,1,1016,0
264,23,2015,Mendocino,23,7/4/2015,7/5/2015,0,39.0263,-123.303,FALSE,"off Hwy 253, 4 miles northeast of Boonville (Mendocino County).",Soda Fire,100,CA,1,Lightning,0,30,12,26,5,1011,0.2
265,22,2015,Lake,17,8/24/2015,8/25/2015,0,38.831478,-122.53428,FALSE,"Jerusalem Grade Rd & June Bug Rd, 7 miles northeast of Middletown",Grade Fire,100,CA,2,Equipment Use,0,32,13,26,6,1015,0
266,21,2015,Santa Barbara,42,10/29/2015,11/9/2015,0,34.4828,-119.63216,FALSE,between Montecito Peak and Coldspring Saddle,Gibraltar Fire,100,CA,14,Unidentified,0,25,8,18,16,1012,0
267,21,2015,Riverside,33,7/12/2015,7/12/2015,0,33.986204,-117.43942,TRUE,"San Timoteo Canyon Rd and Redlands Blvd, northeast of Moreno Valley",Spider Fire,100,CA,2,Equipment Use,0,31,17,27,5,1015,0
268,19,2015,Napa,28,6/27/2015,6/28/2015,0,38.519132,-122.181878,FALSE,"Steele Canyon Rd. and Headlands Dr., Lake Berryessa",Pleasure Fire,100,CA,14,Unidentified,0,31,16,27,10,1013,0
269,18,2015,Shasta,45,7/7/2015,7/8/2015,1,40.5953,-122.4397,TRUE,"Middle Creek Road, north of Hwy 299",Keswick Fire,100,CA,14,Unidentified,0,33,17,29,4,1015,0
270,16,2015,Humboldt,12,7/28/2015,7/31/2015,0,40.1093,-123.774,FALSE,off Alderpoint Road & Wallan Road near Garberville ,Buck Fire,100,CA,14,Unidentified,0,33,16,27,13,1015,0
271,0,2015,Alpine,2,6/19/2015,6/22/2015,0,38.598056,-119.751944,FALSE,south of Markleeville,Washington Fire,100,CA,14,Unidentified,0,18,8,15,10,1015,0
272,132127,2016,Monterey,27,7/22/2016,10/13/2016,0,36.45994,-121.89938,TRUE,"Soberanes Creek, Garrapata State Park, Palo Colorado, north of Big Sur",Soberanes Fire,100,CA,4,Campfire,0,20,12,18,8,1013,0
273,48019,2016,Kern,15,6/23/2016,7/11/2016,0,35.6115,-118.45628,FALSE,Off Erskine Creek Rd in Lake Isabella,Erskine Fire,100,CA,14,Unidentified,0,29,16,23,10,1013,0
274,46344,2016,San Luis Obispo,40,8/13/2016,9/6/2016,1,35.70595,-120.98316,TRUE,Running Deer Rd & Chimney Rock Rd south of Lake Nacimiento ,Chimney Fire,100,CA,14,Unidentified,78,31,18,27,6,1015,0
275,36274,2016,San Bernardino,36,8/16/2016,8/23/2016,0,34.30372,-117.49342,TRUE,"off of I-15 and Hwy 138, north of San Bernardino ",Blue Cut Fire,100,CA,14,Unidentified,324,36,21,31,9,1011,0
276,33867,2016,Siskiyou,47,8/27/2016,8/28/2016,0,41.851,-123.118,FALSE,"off Seiad Creek Rd, 5 miles northeast o Seiad Valley",Gap Fire,100,CA,14,Unidentified,0,29,9,24,2,1015,0
277,12518,2016,Santa Barbara,42,9/17/2016,9/27/2016,0,34.63445,-120.54421,FALSE,"Santa Ynez Ridge Road and Egress Road, south side of Vandenberg Air Force Base",Canyon Fire,100,CA,14,Unidentified,0,27,15,23,9,1014,0
278,8110,2016,San Bernardino,36,8/7/2016,8/16/2016,1,34.28771,-117.27338,TRUE,"Pilot Rock & Hwy 138, southeast of Hesperia",Pilot Fire,100,CA,14,Unidentified,0,35,21,30,11,1008,0
279,7474,2016,Santa Barbara,42,6/15/2016,7/12/2016,0,34.776,-119.643,TRUE,west of Goleta,Sherpa Fire,100,CA,14,Unidentified,0,22,14,18,13,1014,0
280,7050,2016,Fresno,10,8/9/2016,8/18/2016,0,36.09974,-120.51057,TRUE,"off Hwy 198 & Mineral Springs Rd, W of Coalinga",Mineral Fire,100,CA,14,Unidentified,2,31,18,26,8,1010,0
281,5731,2016,Yolo,57,8/2/2016,8/12/2016,0,38.52513,-122.06788,TRUE,"off of Highway 128 west of Pleasants Valley Road, west of Winters",Cold Fire,100,CA,14,Unidentified,2,35,13,29,10,1015,0
282,5646,2016,El Dorado,"9,31",6/28/2016,7/18/2016,3,38.96741,-120.9375,TRUE,along the  Middle Fork of the American River near Todd Valley,Trailhead Fire,100,CA,14,Unidentified,2600,37,19,32,10,1016,0
283,5443,2016,Inyo,14,9/17/2016,9/18/2016,0,37.75985,-118.95309,FALSE,"Clark Canyon, north of Mammoth Lakes, east of Hwy 395",Owens River Fire,100,CA,14,Unidentified,0,18,4,13,4,1018,0
284,4824,2016,Los Angeles,19,11/14/2016,11/14/2016,0,34.31,-118.335,FALSE,Lake View Terrace,Marek Fire,100,CA,2,Equipment Use,0,33,18,26,9,1020,0
285,4474,2016,Santa Clara,43,9/26/2016,9/19/2017,0,37.10632,-121.85318,TRUE,off Loma Prieta Rd and Loma Chiquita Rd 10 miles NW of Morgan Hill,Loma Fire,100,CA,14,Unidentified,29,36,19,30,0,1015,0
286,3929,2016,Lake,17,8/13/2016,8/26/2016,0,38.89741,-122.60664,TRUE,off Hwy 29 and Clayton Creek south of Lower Lake,Clayton Fire,100,CA,14,Unidentified,328,36,16,30,7,1015,0
287,3876,2016,Monterey,27,5/22/2016,5/25/2016,1,36.38123,-121.20059,TRUE,"Metz Rd & Blue Jay Ln, southeast of Soledad",Metz Fire,100,CA,5,Debris,0,20,5,14,8,1019,0
288,2944,2016,Fresno,10,7/1/2016,7/5/2016,0,36.0749,-120.452041,TRUE,"Curry Mountain, 7 miles SW of Coalinga",Curry Fire,100,CA,14,Unidentified,0,34,20,30,8,1010,0
289,2860,2016,Siskiyou,47,6/7/2016,11/8/2016,0,41.623,-123.557,FALSE,15 miles SW of Happy Camp (Siskiyou County),Pony Fire,100,CA,14,Unidentified,0,33,2,24,4,1010,0
290,2652,2016,Modoc,25,9/17/2016,10/13/2016,0,41.2649,-120.3178,FALSE,"Soup Springs, 12 miles east of Likely",Soup Complex,100,CA,14,Unidentified,0,24,9,20,5,1018,0
291,2575,2016,Lassen,18,9/11/2016,9/22/2016,1,40.3915,-120.7845,TRUE,"off of Willard Creek Road, west of Susanville",Willard Fire,100,CA,14,Unidentified,7,25,11,21,6,1017,0
292,2520,2016,Monterey,27,6/4/2016,6/20/2016,0,36.01542,-121.25029,FALSE,off Mission Creek Rd and Milpitas Rd north of Fort Hunter Liggett,Coleman Fire,100,CA,14,Unidentified,0,35,15,29,3,1013,0
293,2304,2016,Ventura,56,6/30/2016,6/30/2016,0,34.701,-119.144,FALSE,"Near Haddock Campground, 3 miles west of the Pine Mtn Lodge, above Middle Sespe.",Pine Fire,100,CA,14,Unidentified,0,26,14,21,3,1011,0
294,2241,2016,Fresno,10,7/30/2016,8/9/2016,0,37.01591,-119.50507,TRUE,"Off Gooseberry Ln & Morgan Canyon, south of Prather ",Goose Fire,100,CA,7,Arson,9,36,22,33,6,1010,0
295,2100,2016,Fresno,10,10/11/2016,10/20/2016,0,36.94536,-119.25959,FALSE,"near Sacata Ridge, located above Pine Flat",Sacata Fire,100,CA,14,Unidentified,0,23,10,18,3,1015,0
296,1547,2016,Sonoma,49,9/25/2016,9/29/2016,2,38.80017,-122.82895,TRUE,"off Big Geysers Road and Geysers Resort Road, 10 miles east of Cloverdale",Sawmill Fire,100,CA,10,Vehicle,0,37,12,27,5,1018,0
297,1246,2016,Merced,24,6/25/2016,6/26/2016,0,37.07147,-121.20155,FALSE,"Off Hwy152 at Dinosaur Point, westside of San Luis Reservoir ",Dinosaur Fire,100,CA,10,Vehicle,0,38,16,32,10,1015,0
298,1245,2016,San Diego,37,7/21/2016,7/30/2016,0,33.393,-117.35093,FALSE,Roblar Rd and Case Springs (Camp Pendleton),Roblar Fire,100,CA,14,Unidentified,0,26,17,22,7,1013,0
299,1109,2016,Los Angeles,19,7/9/2016,7/16/2016,0,34.36763,-118.57245,FALSE,"off of Calgrove Blvd, southwest of Santa Clarita",Sage Fire,100,CA,4,Campfire,0,32,16,28,3,1015,0
300,1080,2016,Tuolumne,55,9/26/2016,10/4/2016,0,37.79635,-120.32484,TRUE,off Hwy. 49 and Marshes Flat Road north of Don Pedro Reservoir,Marshes Fire,100,CA,14,Unidentified,0,32,16,27,8,1018,0
301,850,2016,Butte,4,9/5/2016,9/12/2016,3,39.6871,-121.571,TRUE,"Off Pentz Rd & Lime Saddle Rd, south of Paradise",Saddle Fire,100,CA,14,Unidentified,3,26,10,20,9,1011,0
302,650,2016,Mono,26,6/25/2016,7/9/2016,0,37.97,-119.14,FALSE,Hwy 395 & Mono Lake,Marina Fire,100,CA,14,Unidentified,0,22,7,18,4,1017,0
303,599,2016,Humboldt,12,8/22/2016,9/4/2016,0,41.28486,-123.82268,TRUE,"off of Hwy 169 & Martin's Ferry Rd, northwest of Weitchpec ",Tully Fire,100,CA,7,Arson,3,33,-2,22,3,1014,0.1
304,554,2016,Kern,15,7/8/2016,7/10/2016,0,34.913,118.9082,FALSE,"off of I-5, east of Grapevine",Fort Fire,100,CA,14,Unidentified,0,29,23,27,7,1010,2.4
305,550,2016,Butte,4,8/2/2016,8/3/2016,0,39.6708,-121.7192,FALSE,"Off of Highway 99 and Neal Road, south of Chico",99 Fire,100,CA,14,Unidentified,0,33,12,27,3,1015,0
306,518,2016,Kern,15,8/26/2016,8/29/2016,0,35.2013,-118.7212,FALSE,"off Deer Trail Dr & Hwy 223, 6 miles east of Arvin",Range Fire,100,CA,14,Unidentified,0,33,10,26,5,1012,0
307,464,2016,Tehama,52,6/30/2016,7/4/2016,0,40.0353,-122.56939,TRUE,"Colyear Springs Road, 7 miles west of Red Bank",Colyear Fire,100,CA,14,Unidentified,0,40,19,34,4,1013,0
308,400,2016,Yuba,58,8/18/2016,8/18/2016,0,36.16965,-121.38775,FALSE,"off of Hammonton Smartsville Rd and Doolittle Rd, near Beale AFB ",Beale Fire,100,CA,14,Unidentified,0,34,14,26,3,1010,0
309,395,2016,Tulare,54,8/22/2016,11/8/2016,0,36.1648,-118.73906,FALSE,"off Hwy 190, 4 miles northeast of Springville",Tule Fire,100,CA,14,Unidentified,0,35,19,29,5,1012,0
310,380,2016,Modoc,25,9/11/2016,9/14/2016,0,41.4657,-120.9066,FALSE,"in Howards Gulch, north of Canby ",Howard Fire,100,CA,14,Unidentified,0,28,12,22,5,1017,0
311,360,2016,Tehama,52,9/13/2016,9/13/2016,0,40.30594,-122.1295,TRUE,"Off Hwy 36 near Hog Lake, northeast of Red Bluff",Hog Fire,100,CA,15,Structure,0,24,10,19,7,1011,0
312,310,2016,Calaveras,5,7/2/2016,7/8/2016,0,38.02845,-120.61153,FALSE,"Appaloosa Rd. and Pinto Dr., 5 miles southwest of Angels Camp",Appaloosa Fire,100,CA,14,Unidentified,0,34,18,29,7,1012,0
313,304,2016,Kern,15,8/28/2016,8/28/2016,0,35.4976,-118.5097,FALSE,south of Lake Isabella,Havilah Fire,100,CA,7,Arson,0,32,16,27,5,1015,0
314,278,2016,Fresno,10,5/25/2016,5/25/2016,0,36.88286,-119.654,FALSE,"DeWolf Ave & Behymer Ave, 2 miles north of Clovis",DeWolf Fire,100,CA,14,Unidentified,0,25,9,20,10,1016,0
315,248,2016,Plumas,32,9/26/2016,10/6/2016,0,39.92,-121.32,FALSE,north of Hwy 70 and west of Jackass Creek Road ,Tobin Fire,100,CA,14,Unidentified,0,30,15,24,13,1020,0
316,221,2016,Kern,15,7/13/2016,7/14/2016,0,35.68313,-118.21793,FALSE,"off Coyote Trail & Rocky Hill, East of Onyx",Onyx Fire,100,CA,14,Unidentified,0,29,12,25,8,1013,0
317,215,2016,Lake,17,6/26/2016,6/28/2016,0,39.12366,-122.50373,TRUE,"Near Indian Valley Reservoir, 7 miles Southwest of Leesville",Reservoir Fire,100,CA,14,Unidentified,0,35,17,31,10,1014,0
318,210,2016,Amador,3,6/17/2016,6/21/2016,0,38.26874,-120.90265,TRUE,"off Camanche Parkway North & Coal Mine Road, south of Ione",Camanche Fire,100,CA,14,Unidentified,0,28,10,23,4,1018,0
319,188,2016,Fresno,10,7/11/2016,7/13/2016,0,36.92244,-119.39619,FALSE,"off Watts Valley Rd. & Big Springs Ln, east of Clovis",Big Fire,100,CA,14,Unidentified,0,29,11,25,3,1015,0
320,176,2016,El Dorado,9,10/14/2016,10/17/2016,0,38.93449,-120.10744,TRUE,"off Highway 89, near Cascade Lake and Emerald Bay.",Emerald Fire,100,CA,14,Unidentified,0,7,5,6,34,1013,0
321,169,2016,Placer,31,5/17/2016,5/19/2016,0,38.8390117,-121.3090268,FALSE,"Off Athens Ave & Industrial Blvd, south of Lincoln",Athens Fire,100,CA,14,Unidentified,0,31,15,26,10,1014,0
322,158,2016,Fresno,10,9/3/2016,9/6/2016,0,36.84479,-119.34487,TRUE,off Sunnyslope Rd & Lakeside Ln near the Pine Flat Lake Reservoir,Sunny Fire,100,CA,10,Vehicle,0,29,15,25,2,1010,0
323,156,2016,Los Angeles,19,5/23/2016,5/25/2016,0,34.276,-118.354,FALSE,"Hwy 210 and Wheatland Ave, southeast of Lake View Terrace",Wheatland Fire,100,CA,2,Equipment Use,0,21,12,19,3,1014,0
324,150,2016,Del Norte,8,9/13/2016,9/17/2016,0,37.75972,-120.029626,FALSE,"off Old Yosemite Rd, 8 miles east of Greeley Hill",Old Fire,100,CA,14,Unidentified,0,20,9,15,2,1010,0
325,150,2016,Orange,30,8/31/2016,9/5/2016,0,33.6542,-117.5221,FALSE,off Trabuco Creek Rd near Holy Jim Trail,Holy Fire,100,CA,14,Unidentified,0,27,20,23,1,1010,0
326,150,2016,San Luis Obispo,40,5/10/2016,5/10/2016,0,35.61961,-120.39993,FALSE,Wood Canyon Rd & Hwy 41,Shedd Fire,100,CA,14,Unidentified,0,23,11,19,5,1014,0
327,147,2016,San Joaquin,39,8/20/2016,8/20/2016,0,37.62215,-121.36665,FALSE,"off of Bird Rd & I-580, south of Tracy",Bird Fire,100,CA,14,Unidentified,0,34,15,28,8,1014,0.4
328,145,2016,Fresno,10,7/4/2016,7/7/2016,0,36.14161,-120.62048,FALSE,"Hwy 198 and Frame Ln, 14 miles west of Coalinga",Frame Fire,100,CA,7,Arson,0,33,19,29,10,1016,0
329,139,2016,Riverside,33,6/4/2016,6/7/2016,1,33.476894,-117.140883,TRUE,Off I-15 south of Temecula Parkway,Temecula Fire,100,CA,14,Unidentified,0,31,19,28,0,1013,0
330,138,2016,Kern,15,7/15/2016,7/16/2016,0,35.60748,-118.94811,FALSE,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",Famoso Fire,100,CA,14,Unidentified,0,40,22,35,7,1014,0
331,132,2016,Fresno,10,5/15/2016,5/17/2016,0,36.78769,-119.38248,FALSE,"Off Piedra Rd near Kings River, 10 miles northeast of Sanger",Avocado Fire,100,CA,14,Unidentified,0,22,8,18,7,1012,0
332,130,2016,Butte,4,9/22/2016,9/23/2016,0,39.4403,-121.42647,FALSE,"off Oro-Bangor Highway & Swedes Flat, 7 miles SE of Oroville",Bangor Fire,100,CA,14,Unidentified,0,22,6,16,2,1013,0
333,123,2016,Fresno,10,7/15/2016,7/16/2016,0,37.0099,-119.5792,TRUE,"off Auberry Rd & White Thorne Rd, near Prather",Green Fire,100,CA,14,Unidentified,0,34,17,30,5,1014,0
334,120,2016,Stanislaus,50,6/7/2016,6/9/2016,0,37.17072,-121.42238,FALSE,"Henry W. Coe State Park, Del Puerto Canyon, 20 miles west of Gustine (Stanislaus Co.)",Coe Fire,100,CA,14,Unidentified,0,29,13,23,6,1012,0
335,112,2016,Butte,4,6/20/2016,6/20/2016,0,39.595,-121.6008,FALSE,"Off Coal Canyon Rd & Hwy 70, north of Oroville",Coal Fire,100,CA,14,Unidentified,0,33,16,28,8,1018,0
336,103,2016,Madera,20,7/4/2016,7/6/2016,0,37.25601,-119.65776,FALSE,"Hwy 41 and Hummingbird Ln, One mile east of Coarsgold",Broken Fire,100,CA,14,Unidentified,0,32,9,27,4,1016,0
337,100,2016,Shasta,45,9/25/2016,9/25/2016,0,40,-121.93923,FALSE,off Whitmore Road and Old Cow Creek Road,Cow Fire,100,CA,14,Unidentified,0,39,21,31,14,1022,0
338,100,2016,Kern,15,8/4/2016,8/7/2016,0,35.24504,-118.60344,FALSE,"off Hwy 58 and Hart Flat Rd, Tehachapi ",Hart Fire,100,CA,14,Unidentified,0,30,19,26,14,1012,0
339,100,2016,Monterey,27,7/22/2016,7/23/2016,0,35.85093,-120.81081,FALSE,"off Highway 101 and San Antonio River, south of Bradley ",Bradley Fire,100,CA,14,Unidentified,0,29,16,25,6,1013,0
340,100,2016,San Diego,37,7/18/2016,7/20/2016,0,32.9612,-116.7945,FALSE,"off of El Capitan Truck Trail, south of Ramona ",Feather Fire,100,CA,2,Equipment Use,0,30,18,26,6,1012,0.1
341,95,2016,San Benito,35,7/9/2016,7/10/2016,0,5487,-120.841536,FALSE,"off of New Idria Rd & Panoche Rd, south of Mercey Hot Springs ",Mercury Fire,100,CA,9,Miscellaneous,0,0,0,0,1,1,0
342,91,2016,Butte,4,5/27/2016,5/27/2016,0,39.33035,-121.78973,FALSE,"La Porte Road at Dunstone Road, west of Bangor ",Dunstone Fire,100,CA,5,Debris,0,29,22,27,8,1014,0
343,88,2016,Butte,4,8/26/2016,8/30/2016,0,39.79547,-121.71662,TRUE,"off Hwy 32 at Santos Ranch Rd, south of Forest Ranch",Santos Fire,100,CA,14,Unidentified,0,31,12,25,1,1012,0
344,88,2016,Tehama,52,7/1/2016,7/1/2016,0,40.07846,-122.2071,FALSE,"Interstate 5 & Flores Ave, 5 miles south of Red Bluff",Flores Fire,100,CA,10,Vehicle,0,39,20,34,9,1010,0
345,88,2016,Placer,31,6/21/2016,6/21/2016,0,38.86804,-121.37704,FALSE,"off Moore Rd and South Dowd Rd, west of Lincoln",Moore Fire,100,CA,2,Equipment Use,0,38,16,32,6,1018,0
346,87,2016,Sacramento,34,7/10/2016,7/11/2016,0,38.517772,-121.103642,FALSE,"off of Scotts Road and Latrobe Road, Rancho Murrieta",Scott Fire,100,CA,14,Unidentified,0,33,11,26,13,1018,0
347,86,2016,San Luis Obispo,40,6/27/2016,6/29/2016,0,35.70821,-120.82266,FALSE,off Nacimiento Lake Dr. and Frazier Rd.,Frazier Fire,100,CA,14,Unidentified,0,36,22,32,10,1014,0
348,85,2016,Madera,20,8/4/2016,8/6/2016,0,37.3228,-119.7738,FALSE,"off of Grub Gulch Road and Acton Grade Road, west of Oakhurst",Grub Fire,100,CA,14,Unidentified,0,33,10,26,5,1013,0
349,84,2016,Yolo,57,7/15/2016,7/15/2016,0,38.8866,-122.04726,FALSE,"off County Road 86 & County Road 6, west of Dunnigan",Dunnigan Fire,100,CA,9,Miscellaneous,0,40,16,33,2,1013,0
350,80,2016,Tehama,52,6/11/2016,6/11/2016,0,39.7947,-121.857,FALSE,"off Corning Road and Gaylord Avenue, east of Corning",Hoag Fire,100,CA,14,Unidentified,0,31,12,26,10,1016,0
351,78,2016,Ventura,56,7/13/2016,7/15/2016,0,36.92244,-119.39619,FALSE,"near Lake Sherwood, southwest of Thousand Oaks",Sherwood Fire,100,CA,15,Structure,0,33,14,28,3,1015,0
352,70,2016,Fresno,10,9/23/2016,9/24/2016,0,36.6543,-119.5327,FALSE,"off Newmark Ave. and Fantz Ave., 3 miles southeast of Sanger",Newmark Fire,100,CA,14,Unidentified,0,24,11,19,6,1018,0
353,70,2016,Monterey,27,6/18/2016,6/20/2016,0,36.2833,-121.3306,FALSE,"Arroyo Seco Rd &  Elm Ave, E of Greenfield",Arroyo Fire,100,CA,10,Vehicle,0,28,12,24,6,1019,0
354,70,2016,San Diego,37,5/31/2016,6/7/2016,3,33.41639,-117.08829,TRUE,"in the 38000 block of Pala Temecula Road, Temecula",Pala Fire,100,CA,14,Unidentified,7,25,11,20,4,1012,0
355,69,2016,Lake,17,7/19/2016,7/22/2016,0,39.0863,-122.7891,TRUE,"off Foothill Drive, community of Lucerne",Foothill Fire,100,CA,14,Unidentified,0,33,15,27,7,1014,0
356,61,2016,Kern,15,6/11/2016,6/12/2016,0,35.77135,-120.251,FALSE,"off Highway 41, one mile east of the county line",Cotton Fire,100,CA,14,Unidentified,0,30,17,26,5,1013,0
357,52,2016,Monterey,27,6/23/2016,6/24/2016,0,36.1934,-120.9293,FALSE,East of King City,Lowe Fire,100,CA,9,Miscellaneous,0,33,12,27,10,1016,0
358,50,2016,Mendocino,23,9/10/2016,9/15/2016,0,39.7299,-123.5044,FALSE,"off of Hwy 101 and Woodruff Rd, north of Laytonville",Ruff Fire ,100,CA,14,Unidentified,0,30,9,22,2,1016,0
359,50,2016,San Bernardino,36,9/7/2016,9/9/2016,0,34.3183,-117.3189,FALSE,"off of Hwy 138 & Los Flores Rd, south of Hesperia",Spring Fire,100,CA,14,Unidentified,0,32,19,28,2,1010,0
360,50,2016,El Dorado,9,7/22/2016,7/23/2016,0,38.79549,-121.00299,TRUE,off Storksbill Rd in Pilot Hill ,Storksbill Fire,100,CA,14,Unidentified,0,32,15,27,7,1013,0
361,49,2016,Butte,4,6/21/2016,6/21/2016,0,39.43351,-121.6051,FALSE,off Highway 70 at Palermo Rd.,70 Fire,100,CA,2,Equipment Use,0,36,17,31,6,1017,0
362,47,2016,Nevada,29,9/17/2016,9/20/2016,0,39.20427,-121.05948,FALSE,"Off South Auburn Street and Whiting Street, Grass Valley",Auburn Fire,100,CA,14,Unidentified,0,32,16,25,10,1016,0
363,47,2016,Orange,30,6/26/2016,6/29/2016,0,33.57872,-117.77395,FALSE,"n Laguna Coast Wilderness Park, 2½ miles northeast of Laguna Beach",Laguna Fire,100,CA,14,Unidentified,0,29,21,27,4,1011,0
364,45,2016,Amador,3,9/23/2016,9/25/2016,0,38.5212,-120.8416,TRUE,"off Hwy 49 and Bell Road, 4 miles north of Plymouth ",Bell Fire,100,CA,14,Unidentified,0,25,9,19,6,1019,0
365,45,2016,Lake,17,8/9/2016,8/10/2016,0,36.09974,-120.51057,FALSE,"off of Kugelman St and Hwy 53, community of Lower Lake",Kugelman Fire,100,CA,14,Unidentified,0,31,18,26,8,1010,0
366,45,2016,Ventura,56,7/1/2016,7/1/2016,0,34.27619,-118.63264,FALSE,"off Hwy 118 at Rocky Peak Rd, NE Simi Valley",Kuehner Fire,100,CA,10,Vehicle,0,24,19,22,3,1011,0
367,40,2016,Sacramento,34,9/11/2016,9/12/2016,0,38.558,-121.1309,FALSE,"off of Boys Ranch Road and Scott Road, northwest of Rancho Murieta",Boys Fire,100,CA,14,Unidentified,0,30,14,23,9,1017,0
368,40,2016,Contra Costa,7,7/24/2016,7/24/2016,0,38.01264,-122.1885,FALSE,"Cummings Skyway & Franklin Canyon, 6 miles southeast of Rodeo",Franklin Fire,100,CA,14,Unidentified,0,26,13,21,9,1014,0
369,38,2016,Nevada,29,9/7/2016,12/31/1969,0,39.39051,-120.51887,FALSE,west of Fordyce Lake near Soda Springs ,Phoenix Fire,100,CA,14,Unidentified,0,23,9,17,8,1014,0
370,36,2016,Mendocino,23,8/30/2016,8/31/2016,0,39.8748511,-123.4267011,FALSE,"off Mina Rd & Trinity County Line, 12 miles northeast of Covelo",Mina Fire,100,CA,14,Unidentified,0,24,7,14,6,1016,0
371,36,2016,Lake,17,8/9/2016,8/10/2016,0,38.68403,-122.26015,FALSE,"Berryessa Knoxville Rd & East Side Rd, north of Lake Berryessa",Knoxville Fire,100,CA,14,Unidentified,0,34,12,27,6,1009,0
372,35,2016,San Diego,37,8/10/2016,8/11/2016,0,33.22558,-117.14547,FALSE,"I-15 & Lawrence Welk Drive, Gopher Canyon",Gopher Fire,100,CA,9,Miscellaneous,0,27,16,24,4,1011,0
373,35,2016,Calaveras,5,7/12/2016,7/13/2016,0,37.96311,-120.67335,FALSE,"off Stagecoach Rd and Hwy 4, south of Copperopolis",Stagecoach Fire,100,CA,14,Unidentified,0,32,12,27,7,1013,0
374,33,2016,Calaveras,5,6/27/2016,6/30/2016,0,38.22017,-120.8678,FALSE,"off Campo Seco and Chili Camp Road, near Burson ",Campo Fire,100,CA,14,Unidentified,0,39,18,33,4,1016,0
375,32,2016,Siskiyou,47,9/12/2016,9/13/2016,0,41.6314,-122.7933,FALSE,"off of Moffett Creek Rd and Luce Gulch Rd, northeast of Fort Jones",Moffett Fire,100,CA,8,Playing with fire,0,16,3,12,7,1016,0
376,32,2016,Tuolumne,55,7/30/2016,8/1/2016,0,37.81434,-120.69521,FALSE,"Off Frymire Rd & Morrison Rd, east of Oakdale",Frymire Fire,100,CA,2,Equipment Use,0,41,23,35,8,1010,0
377,32,2016,Sacramento,34,6/3/2016,6/3/2016,0,38.3131,-121.06452,FALSE,off Highway 104 and Clay East Road near Herald,Clay Fire,100,CA,2,Equipment Use,0,38,16,31,4,1016,0
378,30,2016,Inyo,14,7/1/2016,7/2/2016,0,36.58972,-118.15589,FALSE,"Whitney Portal Rd. and OlivasRanch Rd., 3 miles West of Lone Pine",Lone Pine Fire,100,CA,14,Unidentified,0,28,21,25,5,1011,0.2
379,30,2016,San Benito,35,6/3/2016,6/3/2016,0,36.80296,-121.40304,FALSE,"off Hidden Valley Rd & Cienega Rd, southwest of Hollister ",Hidden Fire,100,CA,2,Equipment Use,0,36,14,31,4,1015,0
380,30,2016,Merced,24,4/24/2016,4/24/2016,0,37.2171,-121.08036,FALSE,"I-5 & Taglio Road, east of Gustine",Taglio Fire,100,CA,14,Unidentified,0,23,9,18,9,1019,0
381,28,2016,San Diego,37,7/22/2016,7/24/2016,0,33.00056,-116.9571,TRUE,"off Highway 67 & Rockhouse Road, near Ramona",Rock Fire,100,CA,10,Vehicle,0,29,17,24,4,1012,0
382,25,2016,El Dorado,9,6/3/2016,6/4/2016,0,38.64107,-120.6955,TRUE,off Mount Aukum Road & Grizzly Flat Road,Aukum Fire,100,CA,10,Vehicle,0,33,16,28,10,1017,0
383,25,2016,Monterey,27,5/12/2016,5/12/2016,0,35.8378273,-121.0381507,FALSE,"Bryson-Hesperia Rd & Interlake Rd, west of Bradley ",Bryson Fire,100,CA,14,Unidentified,0,25,13,20,6,1016,0
384,23,2016,Humboldt,12,8/11/2016,8/16/2016,0,40.4572,-124.05804,FALSE,"Community of Stafford, 7 miles south of Fortuna",Stafford Fire,100,CA,14,Unidentified,0,27,11,22,7,1014,0
385,23,2016,Siskiyou,47,7/21/2016,7/22/2016,0,41.71847,-122.36924,FALSE,"Table Rock Rd & Harry Cash Rd, Montague",Table Fire,100,CA,14,Unidentified,0,29,9,24,5,1016,0.1
386,20,2016,San Bernardino,36,9/3/2016,9/4/2016,0,34.25858,-117.4415,FALSE,Off I-15 Between Kenwood and Blue Cut in the Cajon Pass,Ken Fire,100,CA,9,Miscellaneous,0,29,16,24,7,1010,0
387,20,2016,Lake,17,8/30/2016,8/31/2016,0,39.1408865,-122.9148951,FALSE,"Off Hwy 29 & Mockingbird Lane, Upper Lake",Mockingbird Fire,100,CA,14,Unidentified,0,27,13,18,10,1016,0
